Date,Time,Open,High,Low,Close,Volume
2025-11-17,05:00,4079.80,4079.80,4051.10,4060.00,11836
2025-11-17,06:00,4059.90,4072.60,4055.50,4067.00,8401
2025-11-17,07:00,4066.50,4089.90,4065.70,4088.90,7504
2025-11-17,08:00,4088.90,4097.10,4072.90,4078.80,10463
2025-11-17,09:00,4078.40,4090.00,4073.50,4083.30,7844
2025-11-17,10:00,4083.40,4091.00,4069.80,4072.10,9088
2025-11-17,11:00,4071.90,4087.50,4062.30,4080.10,9491
2025-11-17,12:00,4080.00,4087.00,4075.80,4078.50,5592
2025-11-17,13:00,4078.60,4093.50,4059.80,4065.90,12514
2025-11-17,14:00,4066.00,4083.60,4060.80,4077.80,13106
2025-11-17,15:00,4077.60,4078.90,4061.70,4065.60,13771
2025-11-17,16:00,4065.20,4074.50,4053.10,4071.10,13567
2025-11-17,17:00,4071.20,4082.50,4071.00,4074.70,8840
2025-11-17,18:00,4074.70,4077.10,4063.60,4063.80,7850
2025-11-17,19:00,4063.80,4066.50,4010.10,4011.30,28322
2025-11-17,20:00,4011.40,4044.40,4006.80,4041.20,17597
2025-11-17,21:00,4041.00,4046.80,4038.90,4045.10,3654
2025-11-17,23:00,4045.60,4055.40,4027.60,4036.30,0
2025-11-18,00:00,4036.50,4041.00,4026.90,4039.80,5898
2025-11-18,01:00,4040.10,4044.80,4021.40,4024.30,8063
2025-11-18,02:00,4024.10,4035.90,4015.80,4018.20,7198
2025-11-18,03:00,4018.00,4026.20,4008.00,4012.30,9224
2025-11-18,04:00,4012.20,4017.80,4002.50,4011.00,7940
2025-11-18,05:00,4010.10,4024.80,4007.70,4018.70,8575
2025-11-18,06:00,4018.60,4020.30,4007.10,4008.30,6571
2025-11-18,07:00,4008.40,4017.10,3997.40,4013.40,15404
2025-11-18,08:00,4013.70,4042.50,4010.20,4036.80,12042
2025-11-18,09:00,4036.10,4047.00,4029.60,4039.70,6884
2025-11-18,10:00,4039.70,4050.20,4036.80,4043.60,7527
2025-11-18,11:00,4043.50,4049.90,4036.10,4039.00,4913
2025-11-18,12:00,4039.00,4044.70,4028.10,4031.70,6435
2025-11-18,13:00,4031.90,4070.80,4030.40,4065.30,19490
2025-11-18,14:00,4065.70,4082.30,4057.90,4065.00,25915
2025-11-18,15:00,4064.90,4072.40,4048.70,4053.20,21609
2025-11-18,16:00,4053.40,4069.80,4040.10,4067.40,19366
2025-11-18,17:00,4067.20,4076.40,4059.30,4072.10,8981
2025-11-18,18:00,4072.00,4075.30,4063.50,4072.30,7758
2025-11-18,19:00,4073.50,4083.30,4073.20,4082.30,6600
2025-11-18,20:00,4082.20,4083.70,4067.70,4069.80,4584
2025-11-18,21:00,4069.70,4072.80,4064.90,4067.40,1605
2025-11-18,23:00,4067.80,4077.60,4065.30,4076.50,0
2025-11-19,00:00,4076.10,4078.20,4067.00,4069.00,3406
2025-11-19,01:00,4068.90,4070.70,4056.60,4059.60,5174
2025-11-19,02:00,4059.80,4081.30,4056.10,4075.70,5825
2025-11-19,03:00,4075.70,4079.00,4065.90,4066.80,4655
2025-11-19,04:00,4066.70,4076.80,4064.10,4075.30,2818
2025-11-19,05:00,4075.20,4098.40,4073.90,4096.60,9592
2025-11-19,06:00,4096.50,4100.00,4090.00,4091.70,6258
2025-11-19,07:00,4091.40,4097.70,4085.10,4087.30,6005
2025-11-19,08:00,4086.80,4089.60,4078.20,4083.60,6745
2025-11-19,09:00,4083.80,4117.70,4081.10,4114.30,11248
2025-11-19,10:00,4114.10,4120.00,4107.50,4109.60,8508
2025-11-19,11:00,4109.70,4118.50,4107.10,4113.60,6893
2025-11-19,12:00,4113.60,4121.00,4112.70,4115.10,5655
2025-11-19,13:00,4115.00,4118.70,4101.00,4111.50,15461
2025-11-19,14:00,4111.80,4130.70,4102.30,4129.20,17409
2025-11-19,15:00,4129.10,4134.30,4090.50,4097.40,32874
2025-11-19,16:00,4097.00,4099.40,4068.30,4075.70,25671
2025-11-19,17:00,4074.70,4082.00,4055.60,4079.60,18816
2025-11-19,18:00,4079.40,4092.40,4076.40,4087.90,14223
2025-11-19,19:00,4087.60,4087.70,4069.00,4073.80,9407
2025-11-19,20:00,4073.40,4082.80,4072.30,4076.50,5247
2025-11-19,21:00,4076.30,4085.20,4065.00,4078.30,3921
2025-11-19,23:00,4079.90,4108.10,4076.80,4104.30,0
2025-11-20,00:00,4104.30,4109.60,4098.90,4102.00,5099
2025-11-20,01:00,4102.00,4108.00,4080.80,4081.10,9801
2025-11-20,02:00,4081.20,4081.60,4034.00,4065.30,15557
2025-11-20,03:00,4065.20,4084.00,4060.20,4070.30,8592
2025-11-20,04:00,4070.40,4079.10,4066.60,4075.10,3115
2025-11-20,05:00,4074.20,4074.70,4063.40,4065.10,4477
2025-11-20,06:00,4064.80,4077.00,4057.50,4066.90,5536
