Trade #,Entry Date,Exit Date,Type,Entry Price,Exit Price,Initial SL,Hard TP,Lots,PnL USD,Balance,Result,Exit Reason
45,2025-12-10 04:00,2025-12-10 10:00,LONG,4235.90,4218.68,4218.68,4278.95,12.44,-214.30,10500.70,LOSS,"Stop Loss Hit"
46,2025-12-11 07:00,2025-12-11 16:00,LONG,4243.50,4293.46,4223.52,4293.46,10.51,525.03,11025.73,WIN,"Take Profit Target Hit"
47,2025-12-12 18:00,2025-12-15 16:00,LONG,4327.50,4328.00,4295.96,4406.36,6.99,3.50,11029.23,BREAKEVEN,"Breakeven / Trailing SL"
48,2025-12-16 23:00,2025-12-17 10:00,LONG,4336.90,4337.40,4314.61,4392.62,9.90,4.95,11034.18,BREAKEVEN,"Breakeven / Trailing SL"
49,2025-12-18 05:00,2025-12-18 14:00,LONG,4363.20,4344.85,4344.85,4409.07,12.03,-220.68,10813.49,LOSS,"Stop Loss Hit"
50,2025-12-18 15:00,2025-12-18 16:00,LONG,4370.20,4370.70,4349.54,4421.85,10.47,5.23,10818.73,WIN,"Breakeven / Trailing SL"
51,2025-12-18 20:00,2025-12-19 01:00,LONG,4365.90,4340.37,4340.37,4429.72,8.48,-216.37,10602.35,LOSS,"Stop Loss Hit"
52,2025-12-19 09:00,2025-12-22 01:00,LONG,4358.60,4407.61,4339.00,4407.61,10.82,530.12,11132.47,WIN,"Take Profit Target Hit"
53,2025-12-23 16:00,2025-12-24 03:00,LONG,4501.40,4501.90,4476.95,4562.53,9.11,4.55,11137.02,BREAKEVEN,"Breakeven / Trailing SL"
54,2025-12-26 05:00,2025-12-29 00:00,LONG,4540.50,4541.00,4509.87,4617.08,7.27,3.64,11140.66,BREAKEVEN,"Breakeven / Trailing SL"
55,2025-12-30 14:00,2025-12-31 01:00,SHORT,4381.40,4380.90,4416.17,4294.48,6.41,3.20,11143.86,BREAKEVEN,"Breakeven / Trailing SL"
56,2025-12-31 02:00,2025-12-31 13:00,SHORT,4360.50,4360.00,4394.55,4275.38,6.55,3.27,11147.14,BREAKEVEN,"Breakeven / Trailing SL"
